Time	E1_L13.1	E2_L08.1PG_Col0	E3_L13.2	E4_L08.2PG_Col0
26.8	-0.00311211	-0.00714782	0.000436633	0.0107308
26.9	-0.00325388	-0.00697853	0.000829687	0.0108749
27	-0.00308359	-0.00708255	0.000455283	0.0108255
27.1	-0.00320582	-0.0070636	0.000744384	0.010943
27.2	-0.00318019	-0.00711901	0.000699682	0.010936
27.3	-0.00317604	-0.00707594	0.000892977	0.0110853
27.4	-0.00302498	-0.00709076	0.000527785	0.0110344
27.5	-0.00295233	-0.00722772	0.000444715	0.011079
27.6	-0.00288792	-0.00712107	0.000927824	0.0111519
27.7	-0.00292868	-0.00722189	0.000807736	0.0111799
27.8	-0.00292743	-0.00722229	0.000796341	0.0110256
27.9	-0.00303662	-0.00739973	0.00036698	0.0112531
28	-0.00288851	-0.00735499	0.000432772	0.0112657
28.1	-0.00301319	-0.00752439	0.000274497	0.0113149
28.2	-0.00323591	-0.0076557	0.000275793	0.0113002
28.3	-0.00304611	-0.00762697	0.000401655	0.0113786
28.4	-0.00303421	-0.00768544	0.00044542	0.0115078
28.5	-0.00308661	-0.00766528	0.000267717	0.0115331
28.6	-0.00288753	-0.00774583	0.000428692	0.0116085
28.7	-0.0030028	-0.00777126	0.00048308	0.0117213
28.8	-0.00293213	-0.00784518	0.000658243	0.0117096
28.9	-0.00318063	-0.00770675	0.000662531	0.0118036
29	-0.00323055	-0.0077656	0.000458151	0.0119411
29.1	-0.00323027	-0.00775883	0.000732269	0.0120489
29.2	-0.00337539	-0.00785707	0.000470495	0.0120813
29.3	-0.00336151	-0.00788394	0.000767195	0.0120194
29.4	-0.0032648	-0.00800153	0.000952099	0.0121763
29.5	-0.00330469	-0.00802504	0.000844454	0.0122337
29.6	-0.00323508	-0.0081606	0.000851051	0.0124193
29.7	-0.0033195	-0.00817629	0.000785553	0.0123943
29.8	-0.00331939	-0.00812242	0.000957466	0.0122179
29.9	-0.00331159	-0.00807816	0.00108331	0.0119681
30	-0.00315357	-0.0082413	0.000831759	0.0119131
30.1	-0.00315416	-0.00827873	0.000898079	0.012122
30.2	-0.00300074	-0.00819791	0.000874613	0.0117987
30.3	-0.00297263	-0.00805724	0.00119665	0.0119456
30.4	-0.00302748	-0.00815201	0.000926373	0.0121253
30.5	-0.00310098	-0.00812452	0.00106144	0.0120806
30.6	-0.0031111	-0.00812485	0.00101837	0.0122026
30.7	-0.00313318	-0.0082098	0.000874811	0.0122923
30.8	-0.00300865	-0.00829256	0.000631951	0.0124904
30.9	-0.00304668	-0.00845256	0.00099976	0.0123351
31	-0.00280071	-0.00820976	0.000989709	0.0124122
31.1	-0.00302161	-0.0082012	0.000623085	0.0125638
31.2	-0.00289885	-0.0083201	0.000969221	0.0126796
31.3	-0.00279844	-0.00815427	0.000984045	0.0127963
31.4	-0.00278102	-0.00808315	0.00105823	0.0127243
31.5	-0.00262221	-0.00821309	0.000877026	0.0130091
31.6	-0.0025212	-0.0080666	0.000702319	0.0128612
31.7	-0.00260317	-0.00805032	0.000609503	0.012895
31.8	-0.00245248	-0.00814284	0.000849328	0.0128368
31.9	-0.00242178	-0.00823136	0.000679997	0.0130447
32	-0.0025488	-0.00822088	0.000531456	0.0131417
32.1	-0.00230183	-0.00805262	0.000588972	0.0131387
32.2	-0.00222815	-0.00810942	0.00063151	0.0131464
32.3	-0.0019685	-0.00807585	0.000627096	0.0132556
32.4	-0.00194997	-0.00802393	0.000732163	0.0130682
32.5	-0.00201133	-0.00809956	0.000633609	0.013403
32.6	-0.00172845	-0.00796266	0.000656715	0.0134364
32.7	-0.00161304	-0.00791531	0.0011253	0.0135212
32.8	-0.00162034	-0.00818263	0.00123322	0.0134532
32.9	-0.00163454	-0.00804827	0.00116243	0.0134692
33	-0.00150685	-0.00811456	0.000846061	0.0136735
33.1	-0.00132623	-0.00807825	0.000833001	0.0136804
33.2	-0.00125199	-0.00808272	0.000490279	0.0138895
33.3	-0.00124887	-0.00814871	0.000956129	0.0136403
33.4	-0.00123268	-0.00817067	0.00086764	0.0137292
33.5	-0.00103807	-0.00803112	0.000850929	0.0138061
33.6	-0.00115455	-0.00816454	0.00104795	0.0138581
33.7	-0.000977588	-0.00783983	0.000810911	0.0140832
33.8	-0.000918132	-0.00797351	0.000993172	0.0142234
33.9	-0.00103778	-0.00796392	0.000883662	0.0141859
34	-0.00089327	-0.00800525	0.000926757	0.0140461
34.1	-0.000824453	-0.00788231	0.00117829	0.0142579
34.2	-0.000839365	-0.0079845	0.00111385	0.0144118
34.3	-0.000845361	-0.00783418	0.000961522	0.0142517
34.4	-0.000903249	-0.00791787	0.00140935	0.0144916
34.5	-0.000799312	-0.00783719	0.00135044	0.0142823
34.6	-0.000701119	-0.00777299	0.00163865	0.0143482
34.7	-0.000421663	-0.00793704	0.00152103	0.0145316
34.8	-0.000269813	-0.00779622	0.00138801	0.0145397
34.9	-0.00022457	-0.00768337	0.00165427	0.0147025
35	-0.000160858	-0.00798755	0.00151841	0.0150326
35.1	-4.33496e-05	-0.00779341	0.00154051	0.0151005
35.2	-4.02199e-05	-0.00780694	0.00150904	0.015192
35.3	-2.244e-05	-0.00782188	0.00185851	0.0152521
35.4	-0.000111274	-0.00781528	0.00172138	0.0155029
35.5	-0.000207845	-0.00773018	0.00185181	0.0152904
