Time	E1_L08.1PG_Col.0	E2_L13.1	E3_L13.2	E4_L08.2PG_Col.0
3.83	0.000300716	0.000701393	-0.00265088	0.0183117
3.84	0.000498121	0.000879225	-0.00266195	0.0170683
3.85	0.000614369	0.000485314	-0.00265052	0.0162013
3.86	0.000536882	0.000547913	-0.00281039	0.0167939
3.87	0.000548249	0.000686881	-0.0027753	0.0169659
3.88	0.000426876	0.000738528	-0.00294984	0.0168517
3.89	0.00044883	0.000614933	-0.00271441	0.016442
3.9	0.000281734	0.000695955	-0.00271187	0.0163551
3.91	0.000357518	0.000695877	-0.0026714	0.0166244
3.92	0.000276784	0.000791251	-0.00305865	0.0165677
3.93	0.000456645	0.000508917	-0.00291888	0.0164091
3.94	0.0003447	0.000676632	-0.00277907	0.0172429
3.95	0.00043893	0.000476537	-0.00283614	0.017351
3.96	0.000232627	0.000838782	-0.00269347	0.0170066
3.97	0.000304993	0.000466976	-0.00274683	0.0177541
3.98	0.000431264	0.000799389	-0.00261584	0.0172817
3.99	0.000642702	0.000680518	-0.00270427	0.0162934
4	0.000189794	0.000486141	-0.00270213	0.016222
4.01	0.000477926	0.000303823	-0.00280792	0.0174027
4.02	0.000486124	0.000803988	-0.0025605	0.0176415
4.03	0.000642321	0.000594126	-0.00277997	0.0168415
4.04	0.000399089	0.000627645	-0.00254943	0.0181422
4.05	0.000286299	0.000543373	-0.00248287	0.0170631
4.06	0.000316932	0.000507756	-0.00270714	0.0167925
4.07	0.000504355	0.000749677	-0.00267432	0.0172961
4.08	0.000459012	0.000529548	-0.00255683	0.0171562
4.09	0.000418184	0.000534483	-0.00264066	0.0163258
4.1	0.000379018	0.000979187	-0.00240935	0.0167337
4.11	0.000437819	0.000463818	-0.00263166	0.0167057
4.12	0.000452156	0.000496126	-0.00267867	0.0165215
4.13	0.00054118	0.000304273	-0.00271987	0.0168466
4.14	0.00028214	0.000511934	-0.00297138	0.017219
4.15	0.000283419	0.000760035	-0.00280856	0.0166466
4.16	0.000452841	0.000596029	-0.00264273	0.016624
4.17	0.000524884	0.000372337	-0.0027943	0.0165748
4.18	0.000323478	0.000692186	-0.0026469	0.0163444
4.19	0.000608201	0.000425385	-0.00273271	0.016261
4.2	0.000486478	0.000262522	-0.00270834	0.0164496
4.21	0.00054377	0.00050178	-0.00290707	0.0160724
4.22	0.000447077	0.000321114	-0.00288498	0.015281
4.23	0.000611156	0.000439866	-0.00293988	0.0153079
4.24	0.000291186	0.000749616	-0.00292595	0.0151354
4.25	0.000499743	0.000894963	-0.00284947	0.0156923
4.26	0.00055129	0.000647441	-0.00259811	0.0157614
4.27	0.000547778	0.00054239	-0.00288464	0.0160115
4.28	0.000518047	0.000804892	-0.00288739	0.0162786
4.29	0.000756601	0.000740884	-0.00289083	0.0165129
4.3	0.000372328	0.000682848	-0.0031268	0.016181
4.31	0.000447126	0.000548985	-0.00303351	0.0160818
4.32	0.000389252	0.00064525	-0.00275062	0.0161883
4.33	0.00048481	0.000617189	-0.00283951	0.0162785
4.34	0.000415532	0.000583854	-0.00293617	0.0163768
4.35	0.000716449	0.000321588	-0.00294878	0.0165783
4.36	0.000644516	0.000566318	-0.00306478	0.0171073
4.37	0.000656051	0.000620555	-0.00307795	0.0176397
4.38	0.000556148	0.00064012	-0.00283654	0.0170667
4.39	0.000656737	0.000465289	-0.00277574	0.017274
4.4	0.000260331	0.000514519	-0.00262563	0.0177393
4.41	0.000336052	0.000448941	-0.00299278	0.0176979
4.42	0.000482816	0.000555487	-0.00312586	0.0178307
4.43	0.000589025	0.000364332	-0.00290091	0.0176214
4.44	0.000469887	0.000470896	-0.0028618	0.0172165
4.45	0.000691795	0.000446045	-0.00292139	0.0172682
4.46	0.000421535	0.000406234	-0.00275662	0.0174166
4.47	0.000392872	0.000405163	-0.00282148	0.0173447
4.48	0.000494186	0.000470244	-0.00269758	0.0171526
4.49	0.000634799	0.000493265	-0.00293831	0.0176463
4.5	0.000479473	0.000447504	-0.0029385	0.0175935
4.51	0.000539843	0.000501913	-0.0030055	0.01715
4.52	0.000619528	0.000630139	-0.00282197	0.0169682
4.53	0.000730855	0.000546683	-0.00297133	0.0168663
4.54	0.000355339	0.000524128	-0.00282551	0.0170761
4.55	0.000483514	0.000622667	-0.00284776	0.016755
4.56	0.000364828	0.000642456	-0.00297789	0.0164728
4.57	0.000595852	0.000679783	-0.00297294	0.0167164
4.58	0.000444275	0.000548661	-0.00275776	0.016551
4.59	0.000593334	0.00038061	-0.00285314	0.0166616
4.6	0.000459848	0.000595073	-0.00271195	0.0162568
4.61	0.000559382	0.000652461	-0.00286701	0.0161726
4.62	0.000456054	0.000315062	-0.00306127	0.0164464
4.63	0.000653929	0.000348489	-0.00316161	0.0164821
