Time	E1_L08.1PG_Col.0	E2_L13.1	E3_L08.2PG_Col.0	E4_L13.2
4.07	-0.0109104	-0.00349875	0.0223468	-0.00360538
4.08	-0.011193	-0.0037279	0.022032	-0.00363415
4.09	-0.0110146	-0.00347977	0.0221399	-0.00358555
4.1	-0.0111113	-0.00362233	0.0219854	-0.00356085
4.11	-0.0110673	-0.00366525	0.022289	-0.00362256
4.12	-0.0113436	-0.0037122	0.0221409	-0.00367614
4.13	-0.011326	-0.00365938	0.0225408	-0.0034724
4.14	-0.0113351	-0.00366258	0.0222807	-0.00344064
4.15	-0.0113165	-0.00350668	0.0224573	-0.00353407
4.16	-0.0112805	-0.0036795	0.0223505	-0.00356345
4.17	-0.010953	-0.00373818	0.0224409	-0.00363199
4.18	-0.0111194	-0.00402038	0.022325	-0.00360806
4.19	-0.0108166	-0.00363084	0.0226293	-0.00356999
4.2	-0.0110551	-0.0037986	0.0223479	-0.00361309
4.21	-0.0107042	-0.00359281	0.0224956	-0.00344448
4.22	-0.0111596	-0.00393115	0.0222984	-0.00370753
4.23	-0.0109985	-0.00388208	0.0224497	-0.00362711
4.24	-0.0111929	-0.00368361	0.0224111	-0.00358503
4.25	-0.0109979	-0.00352698	0.0227599	-0.00359313
4.26	-0.0111616	-0.00389675	0.0223196	-0.00363062
4.27	-0.0109581	-0.00362909	0.022496	-0.00356197
4.28	-0.011308	-0.00386104	0.0223477	-0.00372766
4.29	-0.0110559	-0.00371868	0.0225559	-0.00375048
4.3	-0.0113785	-0.00389845	0.0222923	-0.00365725
4.31	-0.0111522	-0.00371718	0.022364	-0.0036064
4.32	-0.0112112	-0.00406287	0.0221562	-0.00361565
4.33	-0.0109403	-0.00372513	0.0224958	-0.00369177
4.34	-0.0113696	-0.00392277	0.0221351	-0.00374081
4.35	-0.0113517	-0.00356157	0.0222624	-0.00382364
4.36	-0.0113765	-0.00356781	0.0222917	-0.00369289
4.37	-0.0112577	-0.00382539	0.0224415	-0.00390991
4.38	-0.0113271	-0.00392783	0.0221071	-0.00379011
4.39	-0.0112272	-0.00374055	0.022194	-0.00373606
4.4	-0.0112524	-0.00400742	0.0219076	-0.0038069
4.41	-0.0111099	-0.00375941	0.0221536	-0.00375703
4.42	-0.011343	-0.00390814	0.0219295	-0.00365827
4.43	-0.0113706	-0.00389099	0.0221489	-0.00366603
4.44	-0.0111904	-0.00389496	0.0221492	-0.00379057
4.45	-0.0110173	-0.00384269	0.0222095	-0.0036936
4.46	-0.0110894	-0.00365392	0.0221439	-0.00383233
4.47	-0.0107596	-0.00337955	0.0223736	-0.00376414
4.48	-0.0111856	-0.00380838	0.0217282	-0.00386733
4.49	-0.0109794	-0.0035894	0.0222257	-0.00391101
4.5	-0.0111971	-0.00359117	0.0220428	-0.00389954
4.51	-0.0109254	-0.00341084	0.0222523	-0.0037866
4.52	-0.0111865	-0.00364996	0.0220173	-0.00370372
4.53	-0.0110501	-0.00346493	0.0220752	-0.00373845
4.54	-0.0111317	-0.00364947	0.0223203	-0.00382575
4.55	-0.0107518	-0.00329462	0.0227333	-0.00373956
4.56	-0.0111578	-0.00350335	0.022247	-0.00384411
