TimeOfDay	Time	E1_L08.1CG_Col0	E2_L13.1	E3_L08.2CG_mutant	E4_L13.2
15:23:57.953	253	-0.035478	-0.0520598	-0.151904	0.0591539
15:23:58.953	254	-0.0378524	-0.0576822	-0.151446	0.0604704
15:23:59.953	255	-0.0401073	-0.0615235	-0.152082	0.0608763
15:24:00.953	256	-0.0426152	-0.0646814	-0.151654	0.0611786
15:24:01.953	257	-0.0444168	-0.0680818	-0.14633	0.0614251
15:24:02.953	258	-0.0453595	-0.0713167	-0.142438	0.061457
15:24:03.953	259	-0.0464689	-0.0738895	-0.145536	0.0613898
15:24:04.953	260	-0.0475371	-0.0766803	-0.145696	0.0609992
15:24:05.953	261	-0.0481916	-0.0792245	-0.150004	0.0603119
15:24:06.953	262	-0.0490987	-0.0812102	-0.147855	0.0599707
15:24:07.953	263	-0.0489981	-0.0838659	-0.149654	0.0591531
15:24:08.953	264	-0.0489209	-0.0861349	-0.154433	0.0583373
15:24:09.953	265	-0.0490714	-0.088234	-0.158084	0.0573992
15:24:10.953	266	-0.049845	-0.0910114	-0.161615	0.0560613
15:24:11.953	267	-0.0512128	-0.0933485	-0.163801	0.0558062
15:24:12.953	268	-0.0530948	-0.0955947	-0.160366	0.0554963
15:24:13.953	269	-0.0544541	-0.0973989	-0.154235	0.0555119
15:24:14.953	270	-0.0555963	-0.0994455	-0.152859	0.0554952
15:24:15.953	271	-0.05565	-0.102086	-0.149249	0.0554054
15:24:16.953	272	-0.0567053	-0.104747	-0.141333	0.0552457
15:24:17.953	273	-0.0581124	-0.107321	-0.139099	0.0549076
15:24:18.953	274	-0.0594897	-0.108161	-0.153433	0.0551194
15:24:19.953	275	-0.061505	-0.110246	-0.158002	0.0551135
15:24:20.953	276	-0.06445	-0.111928	-0.16381	0.0553326
15:24:21.953	277	-0.064163	-0.113684	-0.163452	0.0557392
15:24:22.953	278	-0.0631234	-0.115159	-0.156011	0.0556237
15:24:23.953	279	-0.0625584	-0.116861	-0.142456	0.0559075
15:24:24.953	280	-0.0629959	-0.118549	-0.13857	0.0558755
15:24:25.953	281	-0.0663582	-0.122416	-0.149663	0.0533486
15:24:26.953	282	-0.0735859	-0.127171	-0.158845	0.0483154
15:24:27.953	283	-0.0750334	-0.129598	-0.166866	0.0427496
15:24:28.953	284	-0.0745586	-0.131109	-0.167469	0.0367981
15:24:29.953	285	-0.0736938	-0.132042	-0.160526	0.031707
15:24:30.953	286	-0.0724588	-0.132851	-0.172418	0.0256321
15:24:31.953	287	-0.0714404	-0.133135	-0.170478	0.0165131
15:24:32.953	288	-0.0703069	-0.133087	-0.163582	0.00558727
15:24:33.953	289	-0.0692174	-0.132501	-0.165489	-0.00771251
15:24:34.953	290	-0.0686622	-0.132854	-0.169381	-0.0212257
15:24:35.953	291	-0.0676757	-0.132003	-0.177148	-0.0313526
15:24:36.953	292	-0.0668062	-0.131834	-0.18314	-0.0407956
