TimeOfDay	Time	E1_L13.1	E2_L08.1CG_Col0	E3_L08.2CG_example1	E4_L13.2
14:27:30.770	256	0.0415003	-0.403328	-0.257414	-0.0202732
14:27:31.770	257	0.0388419	-0.404449	-0.257229	-0.021505
14:27:32.770	258	0.0367542	-0.405129	-0.256934	-0.0229494
14:27:33.770	259	0.0345641	-0.40564	-0.25667	-0.02465
14:27:34.770	260	0.0328663	-0.40559	-0.256475	-0.0259769
14:27:35.770	261	0.0307166	-0.405839	-0.256587	-0.0277782
14:27:36.770	262	0.0288895	-0.406161	-0.256536	-0.0288428
14:27:37.770	263	0.0270136	-0.406717	-0.256377	-0.0297645
14:27:38.770	264	0.0252397	-0.406554	-0.256287	-0.0311445
14:27:39.770	265	0.023077	-0.406803	-0.25614	-0.0324268
14:27:40.770	266	0.0212839	-0.406986	-0.256137	-0.0335099
14:27:41.770	267	0.0194831	-0.407172	-0.256067	-0.0343599
14:27:42.770	268	0.0177432	-0.406315	-0.25592	-0.0353691
14:27:43.770	269	0.0163196	-0.406197	-0.25537	-0.0368798
14:27:44.770	270	0.0142984	-0.406523	-0.254988	-0.038001
14:27:45.770	271	0.0126203	-0.405917	-0.254685	-0.0390778
14:27:46.770	272	0.0112297	-0.405685	-0.254039	-0.0400922
14:27:47.770	273	0.00930284	-0.405895	-0.253634	-0.0412349
14:27:48.770	274	0.00723023	-0.405933	-0.253716	-0.0425257
14:27:49.770	275	0.0061555	-0.405787	-0.25317	-0.043993
14:27:50.770	276	0.00502515	-0.405738	-0.25266	-0.0452623
14:27:51.770	277	0.00354372	-0.405458	-0.252482	-0.0457391
14:27:52.770	278	0.00225741	-0.40512	-0.252077	-0.0470205
14:27:53.770	279	0.000791514	-0.405042	-0.252034	-0.048219
14:27:54.770	280	-0.000207471	-0.404615	-0.251513	-0.0494631
14:27:55.770	281	-0.00203099	-0.404163	-0.251621	-0.0505904
14:27:56.770	282	-0.00384561	-0.404387	-0.251542	-0.0519695
14:27:57.770	283	-0.00556109	-0.403914	-0.251676	-0.0532006
14:27:58.770	284	-0.00743002	-0.403522	-0.251243	-0.0544047
14:27:59.770	285	-0.00847181	-0.40355	-0.251218	-0.0557786
14:28:00.770	286	-0.0101047	-0.40348	-0.250697	-0.0569651
14:28:01.770	287	-0.0115623	-0.4031	-0.249969	-0.0575056
14:28:02.770	288	-0.0127213	-0.402907	-0.249587	-0.0586754
14:28:03.770	289	-0.0142861	-0.402648	-0.249226	-0.0594826
14:28:04.770	290	-0.0157616	-0.402248	-0.249067	-0.0602132
14:28:05.770	291	-0.0169662	-0.401811	-0.248777	-0.0611838
14:28:06.770	292	-0.0183754	-0.402358	-0.248561	-0.0619127
14:28:07.770	293	-0.0200099	-0.402352	-0.248247	-0.0628512
14:28:08.770	294	-0.0213436	-0.402089	-0.247928	-0.063833
14:28:09.770	295	-0.022987	-0.40235	-0.24777	-0.0647986
14:28:10.770	296	-0.0243981	-0.402884	-0.247526	-0.0655104
14:28:11.770	297	-0.0259244	-0.403399	-0.247228	-0.066673
14:28:12.770	298	-0.0276212	-0.404029	-0.247043	-0.0670974
14:28:13.770	299	-0.0294023	-0.404209	-0.24679	-0.067733
14:28:14.770	300	-0.0315618	-0.404071	-0.246454	-0.0687925
14:28:15.770	301	-0.0330931	-0.404496	-0.246432	-0.0694042
14:28:16.770	302	-0.0348828	-0.404343	-0.246198	-0.0701274
14:28:17.770	303	-0.0368932	-0.404283	-0.24614	-0.0704455
14:28:18.770	304	-0.0386102	-0.404253	-0.24561	-0.0714657
14:28:19.770	305	-0.0397197	-0.403575	-0.245846	-0.0730574
14:28:20.770	306	-0.0417854	-0.403861	-0.245906	-0.0740424
14:28:21.770	307	-0.0435874	-0.404112	-0.246003	-0.0745941
14:28:22.770	308	-0.0447856	-0.404148	-0.246152	-0.0752054
14:28:23.770	309	-0.0465839	-0.403902	-0.246287	-0.0759889
14:28:24.770	310	-0.0484748	-0.403542	-0.246616	-0.0766256
14:28:25.770	311	-0.0501412	-0.403659	-0.246463	-0.0771955
14:28:26.770	312	-0.0516891	-0.404077	-0.246442	-0.0782171
14:28:27.770	313	-0.0530981	-0.403472	-0.24601	-0.0786613
14:28:28.770	314	-0.0548596	-0.402737	-0.246161	-0.0794867
14:28:29.770	315	-0.056746	-0.403034	-0.245962	-0.0801342
14:28:30.770	316	-0.0586024	-0.40284	-0.245746	-0.0807508
14:28:31.770	317	-0.0596823	-0.402291	-0.24608	-0.0814146
14:28:32.770	318	-0.0616314	-0.401491	-0.245855	-0.0817975
14:28:33.770	319	-0.0631923	-0.40095	-0.245615	-0.0823089
14:28:34.770	320	-0.0646077	-0.400474	-0.245556	-0.0831643
14:28:35.770	321	-0.0662382	-0.400191	-0.245322	-0.0835817
14:28:36.770	322	-0.0675326	-0.399122	-0.245314	-0.0842576
14:28:37.770	323	-0.0686554	-0.398599	-0.245212	-0.0851977
14:28:38.770	324	-0.0696226	-0.39816	-0.245508	-0.0856792
14:28:39.770	325	-0.0711925	-0.397978	-0.245436	-0.0866729
14:28:40.770	326	-0.072405	-0.398001	-0.245108	-0.0872036
14:28:41.770	327	-0.0735288	-0.397564	-0.244919	-0.0880818
14:28:42.770	328	-0.0750243	-0.397792	-0.244813	-0.0886982
14:28:43.770	329	-0.0763223	-0.397765	-0.244702	-0.0893001
14:28:44.770	330	-0.0777796	-0.397159	-0.245156	-0.0906102
14:28:45.770	331	-0.0793853	-0.396698	-0.245346	-0.0916659
14:28:46.770	332	-0.0806888	-0.396038	-0.24537	-0.0920481
14:28:47.770	333	-0.0818462	-0.395525	-0.2448	-0.0927012
14:28:48.770	334	-0.0832659	-0.395603	-0.244805	-0.0929395
14:28:49.770	335	-0.0839567	-0.395578	-0.244254	-0.0931083
14:28:50.770	336	-0.0848134	-0.394856	-0.24405	-0.0934093
14:28:51.770	337	-0.0857691	-0.395033	-0.244239	-0.0939277
14:28:52.770	338	-0.0863724	-0.394561	-0.244198	-0.0941785
14:28:53.770	339	-0.0872833	-0.394621	-0.244053	-0.0951515
14:28:54.770	340	-0.0883028	-0.394235	-0.243924	-0.0959805
14:28:55.770	341	-0.0896445	-0.393694	-0.243865	-0.0966025
14:28:56.770	342	-0.0907262	-0.393345	-0.244091	-0.0968679
14:28:57.770	343	-0.0916529	-0.393294	-0.244106	-0.096878
14:28:58.770	344	-0.0924592	-0.393446	-0.244338	-0.0969959
14:28:59.770	345	-0.0932084	-0.393404	-0.244601	-0.096823
14:29:00.770	346	-0.0935272	-0.393276	-0.244888	-0.0968701
14:29:01.770	347	-0.0945995	-0.393505	-0.244711	-0.0968765
14:29:02.770	348	-0.0957102	-0.393238	-0.244619	-0.0969357
14:29:03.770	349	-0.0970167	-0.393473	-0.244523	-0.0971947
14:29:04.770	350	-0.0979013	-0.393008	-0.244789	-0.0980623
14:29:05.770	351	-0.0989959	-0.393089	-0.244867	-0.0982736
14:29:06.770	352	-0.0998562	-0.39304	-0.244672	-0.0985222
14:29:07.770	353	-0.10074	-0.393325	-0.244654	-0.0989979
14:29:08.770	354	-0.101563	-0.393524	-0.244301	-0.0989235
14:29:09.770	355	-0.102435	-0.393618	-0.244057	-0.099331
14:29:10.770	356	-0.103218	-0.394034	-0.243766	-0.0998802
14:29:11.770	357	-0.104102	-0.39471	-0.243582	-0.0996078
14:29:12.770	358	-0.10436	-0.394945	-0.243525	-0.100017
14:29:13.770	359	-0.104855	-0.39463	-0.243357	-0.100201
14:29:14.770	360	-0.105137	-0.39459	-0.243567	-0.100227
14:29:15.770	361	-0.105337	-0.394146	-0.243561	-0.100821
14:29:16.770	362	-0.105466	-0.394054	-0.243575	-0.101166
14:29:17.770	363	-0.10555	-0.394587	-0.243762	-0.101541
14:29:18.770	364	-0.105685	-0.395866	-0.24395	-0.101891
14:29:19.770	365	-0.105564	-0.396762	-0.243881	-0.101605
14:29:20.770	366	-0.10561	-0.39723	-0.243948	-0.101864
14:29:21.770	367	-0.105641	-0.396843	-0.243671	-0.102022
14:29:22.770	368	-0.106242	-0.396394	-0.243504	-0.101758
14:29:23.770	369	-0.106348	-0.395583	-0.243318	-0.101747
14:29:24.770	370	-0.106092	-0.395096	-0.242884	-0.101789
14:29:25.770	371	-0.106591	-0.394343	-0.242808	-0.101791
14:29:26.770	372	-0.106642	-0.393844	-0.243014	-0.101802
14:29:27.770	373	-0.10738	-0.393563	-0.24272	-0.101511
14:29:28.770	374	-0.107867	-0.393271	-0.242489	-0.101723
14:29:29.770	375	-0.108488	-0.393351	-0.242406	-0.101689
14:29:30.770	376	-0.108488	-0.393186	-0.242389	-0.101518
14:29:31.770	377	-0.109042	-0.393048	-0.242106	-0.101181
14:29:32.770	378	-0.109714	-0.392222	-0.242189	-0.100944
14:29:33.770	379	-0.11075	-0.391671	-0.241947	-0.100756
14:29:34.770	380	-0.111502	-0.391246	-0.241888	-0.100386
14:29:35.770	381	-0.112517	-0.391305	-0.241655	-0.100117
14:29:36.770	382	-0.11283	-0.39122	-0.241696	-0.099467
14:29:37.770	383	-0.113368	-0.391001	-0.241765	-0.0995529
14:29:38.770	384	-0.113559	-0.390598	-0.241789	-0.0991002
14:29:39.770	385	-0.114339	-0.389938	-0.241845	-0.0989934
14:29:40.770	386	-0.114563	-0.389669	-0.241444	-0.0988455
14:29:41.770	387	-0.114707	-0.389303	-0.241276	-0.0983518
14:29:42.770	388	-0.115097	-0.389012	-0.241476	-0.0985296
14:29:43.770	389	-0.115248	-0.388776	-0.241381	-0.0983012
14:29:44.770	390	-0.115679	-0.388282	-0.241542	-0.0982429
